REF-ITEM+7Digital-ID	REF-TEMPO	REF-CLASS
track-'Til+Tuesday+Voices+Carry-3263459	106.000000	2.000000
track-10cc+I'm+Not+In+Love-386893	67.000000	1.000000
track-112+What+If-580445	66.000000	1.000000
track-3+Doors+Down+Let+Me+Go-225062	92.000000	2.000000
track-311+All+Mixed+Up-3112219	92.000000	2.000000
track-311+Don't+Tread+on+Me-3474479	88.000000	2.000000
track-311+It's+Alright-5295184	131.000000	2.000000
track-50+Cent+Disco+Inferno-721053	96.500000	2.000000
track-A+Fine+Frenzy+Blow+Away-5504494	135.500000	3.000000
track-A+Fine+Frenzy+Happier-6082430	144.000000	2.000000
track-A+Flock+Of+Seagulls+Telecommunication-4877606	156.000000	3.000000
track-ABBA+Chiquitita-2853701	84.000000	1.000000
track-ABBA+Dancing+Queen-2853689	101.000000	3.000000
track-ABBA+Lay+All+Your+Love+On+Me-2853694	133.000000	3.000000
track-ABBA+Mamma+Mia-2853693	137.000000	3.000000
track-ABBA+Voulez-Vous-2853703	126.500000	3.000000
track-ABC+When+Smokey+Sings-11193878	124.000000	2.000000
track-AFI+Beautiful+Thieves-6542818	86.000000	2.000000
track-AFI+Miss+Murder-401844	140.000000	2.000000
track-ASHES+dIVIDE+Enemies-2631260	165.000000	3.000000
track-Aaliyah+Miss+You-14090415	55.000000	1.000000
track-Aaron+Carter+I+Want+Candy-3530439	110.000000	2.000000
track-Aaron+Shust+Give+Me+Words+to+Speak-1173975	81.000000	1.000000
track-Aaron+Shust+Watch+Over+Me-1173974	84.000000	1.000000
track-Abra+Moore+Four+Leaf+Clover-3359054	126.500000	3.000000
track-Ace+of+Base+Beautiful+Life-4034300	134.000000	3.000000
track-Ace+of+Base+Don't+Turn+Around-4034303	96.000000	2.000000
track-Adam+Ant+Desperate+But+Not+Serious-3105608	137.000000	2.000000
track-Adam+Ant+Wonderful-304274	103.000000	2.000000
track-Adam+Lambert+Time+For+Miracles-7069517	72.000000	1.000000
track-Adele+Chasing+Pavements-2027038	80.000000	2.000000
track-Adele+Make+You+Feel+My+Love-3672344	78.000000	1.000000
track-Aerosmith+Fly+Away+From+Here-12749684	71.500000	1.000000
track-Aerosmith+Janie's+Got+A+Gun-148131	115.000000	2.000000
track-Aerosmith+Pink-6336331	86.000000	2.000000
track-Aerosmith+Rag+Doll-148097	93.500000	2.000000
track-Air+Supply+Even+The+Nights+Are+Better-3534116	56.000000	1.000000
track-Air+Supply+Here+I+Am-3319988	69.000000	1.000000
track-Air+Supply+Just+As+I+Am-3534123	74.000000	1.000000
track-Akon+Be+With+You-3860777	87.000000	2.000000
track-Al+Green+Tired+Of+Being+Alone-4178470	98.000000	2.000000
