TRRUZSJ128F93212E9	131.92766	X	unknown
TRRUHJT128F93491BB	84.02208	X	country
TRRUHQZ128F424EF19	108.9803	X	electronic
TRRUMDE128F93168CF	114.26371	X	rock
TRRUXKO12903D05745	124.98825	X	techno
TRRUBCD128F1484D41	87.88606	X	pop
TRRUBZR128F1484D35	128.02426	X	electronica/dance
TRRIRMX128F92E6272	89.97578	X	hip-hop
TRRIIUM128F92FDD12	144.22934	X	country
TRRICMX128F428E027	90.054634	X	dance
TRRICCN12903CB4245	139.97108	X	drum & bass
TRRIKFS128F42AB258	79.88209	X	unknown
TRRNJJS128F9301423	143.99278	X	dance
TRRNBJE12903CE6A76	149.98592	X	pop
TRRGIDR128F92F0A2D	126.99911	X	techno
TRRGDHC128F428C743	149.94649	X	pop
TRRGEJM128F1480E86	81.02551	X	unknown
TRRGPSF128F92D92AA	83.19408	X	electronic
TRRGPSN12903CD5557	101.01575	X	hip-hop
TRRZUWN128F92EE271	127.98483	X	unknown
TRRZMCS128F147E9B6	123.68712	X	r&b
TRRZQAC128F42591BD	109.966	X	country
TRRZXIZ128F92F3BA9	115.367714	X	unknown
TRRZBZI128F429223B	143.67735	X	electronica/dance
TRRTREI12903CE134F	125.973976	X	dance
TRRTZKU128F423C191	123.05626	X	pop
TRRTTJK128F4243064	124.98825	X	unknown
TRRTMSG12903CD3984	124.98825	X	pop
TRRTBSY12903CA6811	123.29284	X	rock
TRRTKJR128F428577E	100.187744	X	country
TRRSUWZ128F426359C	111.543144	X	pop
TRRSFFR128F93252B4	127.62996	X	pop
TRRSKRE128F92CA523	95.614044	X	pop
TRRAUBA128F4291BBC	127.98483	X	pop
TRRAHLG128F4290512	148.40877	X	country
TRRABFO128F93160B0	124.98825	X	pop
TRRALUJ128F428E57F	145.17563	X	pop
TRRFTDQ128E0786630	111.148865	X	unknown
TRRFHHI12903CCD7F6	81.9718	X	goth/industrial/dark
TRRFMBB128F9353ED5	129.99567	X	unknown
TRRFXKJ128F931157D	107.600296	X	country
TRRFXLV128F4290443	144.03221	X	rock
TRRFKAL128F4265D2C	108.07344	X	rock
TRRORHF128E0786C6F	90.21234	X	pop
TRROHAK128F92E36D2	113.47514	X	pop
TRRODTS128F930D137	122.85912	X	pop
TRROQUU128F42592CE	128.02426	X	pop
TRROQAJ128F4267533	125.973976	X	soundtrack
