# made with dump_hainsworth_to_text.m
# 1=idx
# 2=artist
# 3=title
# 4=bpm1
# 5=style
# 6=bigstyle
# 7=tempocond
# 8=difficulty
# 9=subdiv
# 10=bpm2
# 11=beats
# 12=idx of downbeats in beats
001.wav 	<sep>	 Dave Matthews Band 	<sep>	 Best of What's Around 	<sep>	 56.4710 	<sep>	 Rock	<sep>	 Rock/Pop	<sep>	 none	<sep>	 2	<sep>	 div by 4	<sep>	 99.9563	<sep>	 20064,46050,71272,97640,124678,152018,178895,204642,231774,258143,284129,310879,338012,365144,390748,416352,443600,468821,497669,524233,550219,576205,603338,629324,656839,683207,709957,736326,763076,789445,816195,842563,868282,895032,921401,948151,973373,1000505,1025345,1051713,1078846,1106361,1132347,1158715,1185848,1212565,1238708,1264363,1291428,1317804,1343790,1370922,1396909,1422513,1448881,1474867,1501617,1529132,1555118,1582633,1608619,1634987,1660209,1687552,1714971,1740985,1766769,1793312,1820827,1847577,1872799,1899549,1926682,1953050,1979418,2006169,2032919,2060434,2085656,2111260,2139017,2166863,2193785,2219367,2246450,2272848,2298559,2323586,2349983,2376380,2402092,2429518,2456258,2483805 	<sep>	 4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80,84,88,92 
002.wav 	<sep>	 Herbie Hancock 	<sep>	 Cantaloup Island 	<sep>	 57.7712 	<sep>	 Jazz	<sep>	 Jazz	<sep>	 none	<sep>	 2	<sep>	 div by 2	<sep>	 115.1964	<sep>	 14332,36496,60572,83118,107576,131269,153434,176363,198910,222221,246296,268843,292536,315465,339158,362469,385398,407563,430874,453535,477229,500158,523087,546398,569709,591109,614420,636967,659514,682061,704990,728301,750083,775292,798234,822068,845741,866371,891249,913564,936304,958851,982162,1006238,1030313,1052860,1076553,1100628,1125086,1148397,1172472,1194637,1217566,1240113,1263042,1285703,1308632,1331561,1355254,1377801,1401112,1424041,1447737,1469135,1493974,1516521,1539832,1561233,1584926,1607855,1630784,1653331,1676260,1698157,1721850,1744779,1766944,1789490,1812037,1835730,1859041,1881206,1905664,1926682,1950757,1971775,1995851,2018398,2040944,2063873,2086802,2110113,2132393,2155704,2177486,2198887,2221433,2245127,2268820,2290985,2313149,2335696,2360154,2381554,2405247,2426647,2448812,2471359,2494670,2516835 	<sep>	 2,6,10,14,18,22,26,30,34,38,42,46,50,54,58,62,66,70,74,78,82,86,90,94,98,102,106,110 
003.wav 	<sep>	 Herbie Hancock 	<sep>	 Maiden Voyage 	<sep>	 61.7651 	<sep>	 Jazz	<sep>	 Jazz	<sep>	 none	<sep>	 3	<sep>	 div by 2	<sep>	 125.1763	<sep>	 5924,27707,49107,69743,91526,114072,136766,158020,179960,202015,222603,243621,263875,284511,305952,328076,349858,372023,391131,412913,435342,457739,478848,500434,522331,543743,563212,583848,606395,629324,651500,672687,694728,716189,735561,756962,779126,802164,824574,848295,867471,888902,906879,928661,950062,973373,994009,1016556,1038338,1059356,1079992,1100246,1120882,1140754,1163683,1185039,1206431,1228249,1248902,1268774,1289907,1313600,1334236,1356019,1376655,1398437,1418691,1439327,1460728,1482510,1503146,1524164,1545182,1565054,1585308,1606326,1627727,1649509,1670909,1691928,1711532,1732168,1752422,1772676,1792930,1815859,1837259,1857131,1877767,1897256,1916364,1936618,1958400,1978272,2001201,2022983,2043619,2063491,2084892,2104381,2126660,2148443,2169843,2190861,2211498,2231751,2252387,2272641,2294042,2315060,2336078,2357478,2377732,2398368,2419004,2439258,2460277,2482441,2503077,2522949,2543656,2565689,2587177,2608846,2629241,2651027,2673263,2696437,2718359 	<sep>	 4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80,84,88,92,96,100,104,108,112,116,120,124,128 
006.wav 	<sep>	 Merlin 	<sep>	 Evocacion 	<sep>	 96.5600 	<sep>	 Choral	<sep>	 Classical	<sep>	 rubato (Rub)	<sep>	 3	<sep>	 div by 2	<sep>	 87.2800	<sep>	 41160,84213,114529,212937,251346,273041,298601,322831,343103,365992,394316,423834,451219,473311,498875,521281,543331,567370,595611,624062,655003,677321,705505,731112,753162,775212,805441,834736,865545,889095,913057,935252,971172,1006737,1098137,1131924,1153618,1179117,1202909,1224391,1247508,1272048,1294809,1321838,1343423,1366096,1387647,1408616,1429954,1458762,1487569,1517087,1539654,1567233,1594262,1618091,1640852,1665707,1691709,1718738,1741855,1764276,1791290,1813468,1837524,1870243,1896916,1929636,1952397,1979070,2002647,2025660,2046999,2074739,2104969,2135199,2157587,2184633,2207750,2231934,2255762,2285637,2321557,2358544,2382728,2409045,2434164,2459191,2483375,2515028,2542412,2574776,2595796,2621721,2649106,2672223,2701741,2735883,2771092,2808079,2830841,2856447,2879564,2901965,2923982,2948068,2977366,3006529,3027476,3051614,3073171,3096507,3122114,3154122,3202134,3235920,3260460,3291401,3325899,3360396,3393471,3440875,3512257,3556712,3589899,3639222,3752645 	<sep>	 1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93,97,101,105,109,113,117,121,125,129 
007.wav 	<sep>	 Tavener Choir 	<sep>	 Byrd 4 part mass - Sanctus 	<sep>	 61.6722 	<sep>	 ClassicalSolo	<sep>	 Choral	<sep>	 rubato (Rub)	<sep>	 2	<sep>	 div by 2	<sep>	 62.8420	<sep>	 42932,81227,119119,159027,200434,240402,281505,321697,362597,410917,455261,497383,537263,576768,617482,656180,698804,738414,779197,817423,858562,897359,940897,980803,1037238,1094076,1135193,1177922,1221810,1261366,1305425,1345333,1387256,1426761,1470474,1512111,1554694,1596130,1639199,1679913,1719941,1763553,1809028,1852967,1899324,1942860,1989620,2034070,2076520,2119547,2161433,2204598,2244506,2284413,2325127,2363665,2405760,2444006,2484612,2522442,2564103,2610978,2651094,2693847 	<sep>	 1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61 
008.wav 	<sep>	 Herbie Hancock 	<sep>	 And What if I Don't 	<sep>	 62.6010 	<sep>	 Jazz	<sep>	 Jazz	<sep>	 none	<sep>	 1	<sep>	 swing 8ths	<sep>	 104.2442	<sep>	 15478.0363951473,42228.4696707106,69955.3408440923,94582.8890814558,120668,145470,171720,197095,222032,248282,274583,300372,326934,353720,380845,406657,431221,458941,484795,512004.292894281,536420,562232,589451,614578,640406.372616984,664863.911611785,690658,716609,742387,767548,792550,818869.977469671,842670,869132,896178.729636048,922164.864818024,946842,972055,998086,1024495,1049695,1075002,1101057,1125120,1152346,1178495,1203546,1229318,1255780.98266898,1281570,1305632,1331561.13864818,1357547.27383016,1383191,1408334,1434065,1461371,1486901,1512643,1537507,1561570,1586945,1613195,1637695,1662884.36221837,1689671,1716499.87348354,1741339.56152513,1768089.99480069,1792832,1817115,1843130,1867066.59792028,1892288.43500867,1917128.12305026,1941203.51299827,1968285,1994520,2018145,2042054,2068457,2092886,2117393,2142340,2166824,2190646,2215170,2239833,2264964,2289571,2314613,2339715,2363797,2389196.84055459,2412726,2437305,2462720,2487026.9965338,2512630.98266898,2536924.41897747,2562421,2587009.94930676,2612821,2637523.56109185,2660937,2685468.68414211,2711818,2735779 	<sep>	 1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93,97,101,105 
009.wav 	<sep>	 Winton Marsalis 	<sep>	 Some jazz tune 	<sep>	 49.6443 	<sep>	 Jazz	<sep>	 Jazz	<sep>	 none	<sep>	 3	<sep>	 swing 8ths	<sep>	 157.1869	<sep>	 5360,20806,36810,53170,69530,85178,100826,116830,132834,150548,166307,181913,198273,214988,229214,244863,261578,277938,293942,311121,326729,343440,359462,375859,392924,408723,425049,442091,458985,475501,491600,507737,524063,540292,556719,573036,584504,600508,615801,633227,651009,667725,683729,700089,717159,734586,751398,768809,784376,802585,819046,835936,853252,870673,887190,901384,916676,932680,949040,966467,984249,1000964,1016968,1032602,1049785,1066626,1083499,1100502,1117197,1135045,1152177,1177009,1193368,1209017,1225376,1242092,1259163,1275522,1292949,1309309,1328318,1346066,1361606,1378278,1395193,1411246,1427639,1444604,1461950,1479150,1495295,1512066,1528697,1545793,1562331,1578791,1595159,1611598,1627114,1643891,1660135,1676711,1693413,1709828,1726818,1743632,1761021,1778682,1795814,1813015,1829427,1847365,1863508,1880355,1895900,1913144,1931075,1947452,1962948,1980310,1995981,2013130,2029305,2046056,2063670,2080491,2096641,2112587,2128035,2143764,2159921,2176876 	<sep>	 3,7,11,15,19,23,27,31,35,39,43,47,51,55,59,63,67,71,75,79,83,87,91,95,99,103,107,111,115,119,123,127 
010.wav 	<sep>	 Dave Matthews Band 	<sep>	 Seek Up (live) 	<sep>	 59.6288 	<sep>	 Rock	<sep>	 Rock/Pop	<sep>	 none	<sep>	 3	<sep>	 div by 4	<sep>	 109.8484	<sep>	 14004,36995,61657,86320,110565,133137,156964,182961,205035,229697,254778,278186,305357,330299,354542,378091,401499,425326,450093,474755,499000,524080,550178,572151,597650,621477,645303,669966,695882,718455,743535,767780,790352,814179,838424,862355,887435,912945,937238,960587,983577,1006986,1032066,1058564,1080974,1104382,1128627,1153707,1179624,1203032,1227277,1251939,1276706,1301493,1323942,1349887,1373267,1397511,1420920,1445582,1469409,1494489,1517062,1542142,1567840,1589378,1613622,1639678,1662947,1688028,1711959,1735367,1758776,1783856,1807265,1831510,1856172,1880417,1902571,1927652,1951060,1975723,1999967,2022958,2046366,2071447,2094437,2118787,2142195,2166858,2189430,2214929,2239173,2262164,2287662,2309817,2334479,2359142,2381715,2404287,2429368,2452358,2476185,2500429,2522584,2549831,2572894,2594705,2619570 	<sep>	 1,4,7,10,13,16,19,22,25,28,31,34,37,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,100,103,106,109 
011.wav 	<sep>	 Dave Matthews Band 	<sep>	 Seek Up (live) 	<sep>	 59.7217 	<sep>	 Rock	<sep>	 Rock/Pop	<sep>	 none	<sep>	 2	<sep>	 div by 4	<sep>	 106.5417	<sep>	 10594,32511,57145,81376,106414,130241,154918,179405,203742,227907,250943,273607,297656,321507,347142,368936,392863,416986,438752,463976,490178,513211,537480,562319,586749,611515,635614,659599,683672,710495,733887,758461,783422,808754,832476,858210,883627,909149,933974,959934,983643,1009461,1033248,1057685,1083602,1107599,1132540,1158535,1183052,1209487,1234917,1259757,1282899,1308745,1334102,1359317,1384230,1408091,1433938,1461577,1486076,1510401,1535492,1560882,1586920,1612131,1637690,1663092,1688178,1711138,1738020,1763214,1787968,1814723,1840158,1864551,1889500,1914423,1938761,1963653,1988580,2014426,2039061,2064099,2090753,2114741,2139376,2164011,2189453,2214808,2240151,2263357,2289607,2314746,2340932,2366746,2392065,2416011,2441914,2466298,2491505,2515875,2539878,2566364,2592548,2618305 	<sep>	 3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72,75,78,81,84,87,90,93,96,99,102,105 
012.wav 	<sep>	 Jason Vieaux 	<sep>	 Morel - Choro 	<sep>	 55.9195 	<sep>	 Choral	<sep>	 Classical	<sep>	 rubato (Rub)	<sep>	 3	<sep>	 div by 2	<sep>	 97.2619	<sep>	 2749,29387,56024,83273,107186,134472,158505,184083,209620,236132,260188,283501,308447,334765,359960,384978,411806,436353,460911,484946,509223,534592,560037,584062,608585,633532,655518,679619,703719,728671,753099,779229,805140,829192,853334,877435,900267,926482,952273,976797,1001935,1025978,1049099,1071508,1096455,1120978,1145502,1172139,1204273,1238522,1262622,1288774,1310760,1335707,1362620,1386445,1410123,1432955,1457056,1480311,1508640,1536546,1561069,1585593,1608425,1630834,1659583,1683264,1706878,1731402,1755502,1779603,1804127,1829496,1855288,1883194,1920824,1967421,1990590,2018073,2044766,2077267,2101368,2124832,2147615,2173247,2199590,2229849,2274704,2322050,2401717 	<sep>	 1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89 
