ID	ARTIST	SONG TITLE	MIX	LABEL	BP GENRE	BP BPM	BP KEY
5061	Philippe Van Mullem	Canopy	Progress Mix	Bonzai Classics	Trance	132	D# major
5881	Brainbashers, Lance Madden	Realness	Brain Bashers Mix	Shock Records	Hard Dance	149	A major
7217	Made By Monkeys, Salvatore, Focus	I Try	Salatore & Focus Remix	Star 69 Records	Progressive House	128	C major
10359	Oliver Klein, Ian Wilkie	RheinKraft	Ian Wilkie Remix	Maelstrom Records	Trance	134	A major
10981	Panic	Tasty Treat Beat	Original Mix	Casa Del Soul	Tech House	125	B major
11077	Billy Paul Williams	Winter Heat	Original Mix	Kriztal Entertainment	Chill Out	100	C major
11194	Alek Biotic	Funk Matter	Original Mix	Gotham Grooves	Techno	140	F major
14344	Oliver Prime	Velvet Sunshine	Original Mix	Synergetic Records	Trance	135	D major
14720	Willie Morales, Robbie Rivera	Bang To The Beat	Robbie Rivera Mix	Juicy Music	House	128	D major
16484	Kinder Atom	Slow Back	Original Mix	Nice & Smooth	Techno	92	A major
17025	Foxy Push	Feel Fine	Original Mix	Moonbootique Records	Electronica	130	A# major
18975	The Askew, D-Formation	Invisible	D-Formation Remix	Distraekt Records	Progressive House	128	C major
19613	Dum Dum, First Life	One Earth Beat	First Life's Rhythm Of Life Remix	Whoop!	Progressive House	127	D major
19805	Fred Baker	My Revenge	Original Mix	Magik Muzik	Trance	136	A major
19936	DJ Ton T.B., DJ Cor Fijneman	Electronic Malfunction	DJ Cor Fijneman's Outstanding Remix	Black Hole Recordings	Trance	138	A major
23309	Kompressor, The Green Martian	Black Onyx	The Green Martian Remix	Bonzai Back Catalog	Trance	140	B major
25185	Trisco	Southpaw	Original Mix	Hope Recordings	Progressive House	128	F major
25702	Midnight Blue, Blind Faith	Blessed	Blind Faith Reprise Version 1	Source of Gravity Digital	Chill Out	130	C# major
25703	Midnight Blue, Jay Welsh, Black Ice	Blessed	Black Ice Remix	Source of Gravity Digital	Progressive House	130	C# major
26737	Marco Repetto	Fibrill 2	Thomas Schumacher Remix	Superstition Records	Techno	136	C major
29912	Slam	Bright Lights Fading	Slam Mix	Soma Records	Techno	129	D# major
30278	Neurotron, Alectric	Indigo	Alectric Mix	Night Drive Music	House	126	D major
32715	Psykofuk	Psykofuk	Original Mix	Star 69 Records	Trance	130	D major
33583	Dub Kult, Guido Schneider	On and On	Remix	Raum...Musik.	Minimal	124	A major
33846	Pole Folder	London	Original Mix	Bedrock Records	Progressive House	128	C major
33961	Paul Kalkbrenner	Steinbeisser	Original Mix	Bpitch Control	Techno	133	G major
35645	Above & Beyond, Shane 54	Far From In Love	Shane 54 Remix	Anjunabeats	Trance	138	F major
37745	Murat	Third Floor Pt. 1	Original Mix	Elephanthaus	Techno	142	A major
37779	Solid Slide	Epic Storm	Original Mix	Bonzai Back Catalog	Trance	138	A# major
40030	Rene a.k.a. Maker	Always Look Ahead	Original Mix	Total Wipes	Tech House	127	G major
40643	Green Velvet	La La Land	Instrumental Mix	Relief Records	Tech House	128	A major
40875	Pure Science, Sci-Phi	Human Spirit	Original Mix	Lunar Tunes	Tech House	132	A major
41267	Jon Delerious	Desavibes	Original Mix	Nordic Trax	Chill Out	95	C# major
41907	2 Souls, Astrid	In The Beginning	DJ Astrid Remix	Black Hole Recordings	Trance	134	C major
42234	Rafael Gomez	All Systems Are Go	Original Mix	Treibstoff	Minimal	131	A major
45212	Matthew Dear	Juice	Original Mix	Spectral Sound	Minimal	122	A major
49242	FALSE	Tanning Booths	Original Mix	Minus	Minimal	121	F major
49721	King Kong Crew	Make Me Acid	Original Mix	King Kong Records	Tech House	130	C major
50823	Tigerskin	Style	Original Mix	Resopal Schallware	Minimal	125	A major
51220	Soulpatrol	Soul Searching Intro Jingle	Part One	Compost	Chill Out	97	F# major
51936	Break 3000	Flash 1	Original Mix	MBF ltd	Techno	125	G major
54925	Caro	OVNIto	Original Mix	Orac Records	Minimal	116	D major
55659	Smuk, Thodob	Kalkspat	Reacts With Acid Mix	Total Wipes	Techno	128	C major
58167	Miika Kuisma, Kenjido Okiru	Basscore	Original Mix	Subtraxx Recordings	Progressive House	130	D# major
58226	Bring Back the Buffalo	Experiences	Original Mix	Persona	Chill Out	90	C# major
58581	Meat Katie, Christian J, Dylan Rhymes	Turn Me Out	Dylan Rhymes Remix	LOT49	Breaks	132	C# major
60661	Jan Jelinek	davos s (trio 'round midnight)	Original Mix	Scape	Chill Out	120	C# major
61578	Electric Rescue	Rave On	Original Mix	Scandium Records	Techno	134	C major
61846	Jean Claude Ades, Vincent Thomas	Fly Away	Vincent Thomas Remix	Swings Records	Progressive House	128	D# major
62141	Chris Liebing, Andre Walter, Jamie Bissmire	A1 (The wicked switch E.P.)	Jamie Bissmire Mix	CLR	Techno	138	A major
63014	Julian Poker, David Lara, Inkfish	Ketamine	Inkfish 8Bit Ninja Remix	Suburban Tracks	Progressive House	128	G# major
63618	Pilot Jazou	Wonderful Morning	Original Mix	Total Wipes	Chill Out	128	G# major
65102	Modeselektor	Fake Emotion feat. Paul St.Hillaire	Original Mix	Bpitch Control	Chill Out	90	C major
65778	Dakar, Grinser	25 Reptile	Original Mix	disko B	Tech House	126	F major
