2	30	384
30	57	24
57	87	48
87	114	384
114	141	24
141	169	48
169	198	384
198	226	24
226	252	48
252	279	384
279	306	24
306	337	48
337	365	384
365	392	24
392	422	48
422	451	384
451	478	24
478	506	48
506	534	384
534	560	24
560	590	48
590	619	384
619	647	24
647	676	48
676	705	384
705	731	24
731	760	48
760	787	384
787	815	24
815	844	48
844	872	384
872	897	24
897	926	48
926	953	384
953	980	24
980	1009	48
1009	1036	384
1036	1061	24
1061	1088	48
1088	1116	384
1116	1144	24
1144	1172	48
1172	1198	384
1198	1226	24
1226	1255	48
1255	1282	384
1282	1308	24
1308	1335	48
1335	1360	384
1360	1391	24
1391	1423	48
1423	1451	384
1451	1478	24
1478	1509	48
1509	1541	384
1541	1566	24
1566	1593	48
1593	1624	384
1624	1651	24
1651	1681	48
1681	1705	384
1705	1735	24
1735	1764	48
1764	1793	384
1793	1820	24
1820	1848	48
1848	1877	384
1877	1905	24
1905	1933	48
1933	1960	384
1960	1986	24
1986	2015	48
2015	2043	384
2043	2070	24
2070	2100	48
2100	2128	384
2128	2156	24
2156	2184	48
2184	2213	384
2213	2240	24
2240	2267	48
2267	2297	384
2297	2323	24
2323	2352	48
2352	2382	384
2382	2407	24
2407	2431	48
2431	2458	384
2458	2485	24
2485	2510	48
2510	2539	384
2539	2566	24
2566	2590	48
2590	2617	384
2617	2643	24
2643	2669	48
2669	2697	384
2697	2724	24
2724	2753	48
2753	2783	384
2783	2811	24
2811	2840	48
2840	2870	384
2870	2898	24
2898	2926	48
2926	2955	384
2955	2987	24
2987	3017	48
3017	3049	384
3049	3087	24
3087	3120	48
3120	3156	384
3156	3184	24
3184	3213	48
3213	3241	384
3241	3270	24
3270	3300	48
3300	3329	384
3329	3355	24
3355	3382	48
3382	3412	384
3412	3441	24
3441	3469	48
3469	3500	384
3500	3526	24
3526	3555	48
3555	3582	384
3582	3609	24
3609	3640	48
3640	3668	384
3668	3696	24
3696	3725	48
3725	3752	384
3752	3780	24
3780	3808	48
3808	3838	384
3838	3866	24
3866	3895	48
3895	3924	384
3924	3950	24
3950	3979	48
3979	4008	384
4008	4039	24
4039	4074	48
4074	4105	384
4105	4135	24
4135	4169	48
4169	4211	384
4211	4241	24
4241	4274	48
4274	4309	384
4309	4364	24
4364	4454	48
4454	4540	384
4540	4628	24
4628	5278	48
