72	158	48
158	244	96
244	337	144
337	429	384
429	520	48
520	608	96
608	699	144
699	793	384
793	886	48
886	982	96
982	1073	144
1073	1166	384
1166	1258	48
1258	1348	96
1348	1441	144
1441	1530	384
1530	1624	48
1624	1720	96
1720	1811	144
1811	1898	384
1898	1991	48
1991	2087	96
2087	2189	144
2189	2287	384
2287	2379	48
2379	2470	96
2470	2559	144
2559	2658	384
2658	2750	48
2750	2842	96
2842	2935	144
2935	3037	384
3037	3129	48
3129	3220	96
3220	3313	144
3313	3405	384
3405	3495	48
3495	3587	96
3587	3679	144
3679	3772	384
3772	3861	48
3861	3955	96
3955	4045	144
4045	4137	384
4137	4227	48
4227	4319	96
4319	4411	144
4411	4499	384
4499	4596	48
4596	4686	96
4686	4776	144
4776	4868	384
4868	4960	48
4960	5057	96
5057	5155	144
5155	5249	384
5249	5346	48
5346	5445	96
5445	5536	144
5536	5632	384
5632	5726	48
5726	5818	96
5818	5911	144
5911	6003	384
6003	6095	48
6095	6187	96
6187	6279	144
6279	6367	384
6367	6459	48
6459	6551	96
6551	6644	144
6644	6737	384
6737	6827	48
6827	6918	96
6918	7009	144
7009	7100	384
7100	7191	48
7191	7282	96
7282	7374	144
7374	7468	384
7468	7562	48
7562	7666	96
7666	7844	144
7844	8022	384
8022	8200	48
8200	8378	96
8378	8867	144
