31	111	48
111	191	96
191	271	384
271	352	48
352	431	96
431	511	144
511	591	384
591	672	48
672	751	96
751	831	144
831	911	384
911	991	48
991	1071	96
1071	1151	144
1151	1231	384
1231	1311	48
1311	1391	96
1391	1471	144
1471	1551	384
1551	1631	48
1631	1711	96
1711	1792	144
1792	1871	384
1871	1951	48
1951	2031	96
2031	2111	144
2111	2191	384
2191	2271	48
2271	2351	96
2351	2431	144
2431	2511	384
2511	2591	48
2591	2671	96
2671	2751	144
2751	2832	384
2832	2911	48
2911	2991	96
2991	3072	144
3072	3151	384
3151	3232	48
3232	3311	96
3311	3391	144
3391	3471	384
3471	3551	48
3551	3631	96
3631	3712	144
3712	3791	384
3791	3871	48
3871	3951	96
3951	4031	144
4031	4111	384
4111	4191	48
4191	4271	96
4271	4351	144
4351	4432	384
4432	4511	48
4511	4591	96
4591	4671	144
4671	4752	384
4752	4831	48
4831	4912	96
4912	4992	144
4992	5071	384
5071	5151	48
5151	5231	96
5231	5311	144
5311	5391	384
5391	5471	48
5471	5551	96
5551	5631	144
5631	5711	384
5711	5791	48
5791	5871	96
5871	5951	144
5951	6031	384
6031	6112	48
6112	6191	96
6191	6271	144
6271	6351	384
6351	6432	48
6432	6511	96
6511	6592	144
6592	6671	384
6671	6751	48
6751	6831	96
6831	6912	144
6912	6991	384
6991	7072	48
7072	7151	96
7151	7231	144
7231	7311	384
7311	7392	48
7392	7471	96
7471	7551	144
7551	7631	384
7631	7711	48
7711	7792	96
7792	7872	144
7872	7951	384
7951	8031	48
8031	8111	96
8111	8191	144
8191	8271	384
8271	8351	48
8351	8431	96
8431	8511	144
8511	8592	384
8592	8671	48
8671	8751	96
8751	8832	144
8832	8911	384
8911	8991	48
8991	9071	96
9071	9151	144
9151	9231	384
9231	9311	48
9311	9391	96
9391	9471	144
9471	9551	384
9551	9631	48
9631	9711	96
9711	9791	144
9791	9871	384
9871	9952	48
9952	10031	96
10031	10111	144
10111	10191	384
10191	10271	48
10271	10351	96
10351	10431	144
10431	10511	384
10511	10591	48
10591	10671	96
10671	10751	144
10751	10831	384
10831	10911	48
10911	10991	96
10991	11071	144
11071	11151	384
11151	11232	48
11232	11311	96
11311	11392	144
11392	11471	384
11471	11551	48
11551	11631	96
11631	11711	144
11711	11791	384
11791	11872	48
11872	11952	96
11952	12031	144
12031	12111	384
12111	12191	48
12191	12271	96
12271	12352	144
12352	12431	384
12431	12511	48
12511	12591	96
12591	12671	144
12671	12751	384
12751	12831	48
12831	12911	96
12911	12991	144
12991	13071	384
13071	13151	48
13151	13231	96
13231	13311	144
13311	13391	384
13391	13471	48
13471	13552	96
13552	13631	144
13631	13711	384
13711	13791	48
13791	13872	96
13872	13951	144
13951	14031	384
14031	14111	48
14111	14192	96
14192	14271	144
14271	14351	384
14351	14431	48
14431	14511	96
14511	14592	144
14592	14671	384
14671	14751	48
14751	14831	96
14831	14911	144
14911	14992	384
14992	15072	48
15072	15151	96
15151	15231	144
15231	15311	384
15311	15391	48
15391	15471	96
15471	15551	144
15551	15632	384
15632	15711	48
15711	15791	96
15791	15871	144
15871	15952	384
15952	16031	48
16031	16111	96
16111	16191	144
16191	16280	384
16280	16384	48
16384	16508	96
16508	16639	144
16639	16718	384
16718	16798	48
16798	16878	96
16878	16959	144
16959	17066	384
17066	17173	48
17173	17280	96
17280	17666	144
